faa,name,lat,lon,,,,,,
DUC,Halliburton Field Airport,34.4713056,-97.9598611,,''DUC''=''Halliburton Field Airport'',,"""","DUC""= ""Halliburton Field Airport ""","""DUC""= ""Halliburton Field Airport """
DUG,Bisbee Douglas Intl,31.469028,-109.603667,,''DUG''=''Bisbee Douglas Intl'',,"""","DUG""= ""Bisbee Douglas Intl ""","""DUG""= ""Bisbee Douglas Intl """
DUJ,DuBois Regional Airport,41.1783,-78.8987,,''DUJ''=''DuBois Regional Airport'',,"""","DUJ""= ""DuBois Regional Airport ""","""DUJ""= ""DuBois Regional Airport """
DUT,Unalaska,53.900139,-166.5435,,''DUT''=''Unalaska'',,"""","DUT""= ""Unalaska ""","""DUT""= ""Unalaska """
DVL,Devils Lake Regional Airport,48.114444,-98.908611,,''DVL''=''Devils Lake Regional Airport'',,"""","DVL""= ""Devils Lake Regional Airport ""","""DVL""= ""Devils Lake Regional Airport """
DVT,Deer Valley Municipal Airport,33.4117,112.457,,''DVT''=''Deer Valley Municipal Airport'',,"""","DVT""= ""Deer Valley Municipal Airport ""","""DVT""= ""Deer Valley Municipal Airport """
DWA,Yolo County Airport,38.5793889,-121.8569444,,''DWA''=''Yolo County Airport'',,"""","DWA""= ""Yolo County Airport ""","""DWA""= ""Yolo County Airport """
DWH,David Wayne Hooks Field,30.063746,-95.554276,,''DWH''=''David Wayne Hooks Field'',,"""","DWH""= ""David Wayne Hooks Field ""","""DWH""= ""David Wayne Hooks Field """
DWS,Orlando,28.398,-81.57,,''DWS''=''Orlando'',,"""","DWS""= ""Orlando ""","""DWS""= ""Orlando """
DXR,Danbury Municipal Airport,41.3715353,-73.4821906,,''DXR''=''Danbury Municipal Airport'',,"""","DXR""= ""Danbury Municipal Airport ""","""DXR""= ""Danbury Municipal Airport """
DYS,Dyess Afb,32.420756,-99.8546,,''DYS''=''Dyess Afb'',,"""","DYS""= ""Dyess Afb ""","""DYS""= ""Dyess Afb """
E25,Wickenburg Municipal Airport,33.96889877,-112.7990036,,''E25''=''Wickenburg Municipal Airport'',,"""","E25""= ""Wickenburg Municipal Airport ""","""E25""= ""Wickenburg Municipal Airport """
E51,Bagdad Airport,34.5958528,-113.170195,,''E51''=''Bagdad Airport'',,"""","E51""= ""Bagdad Airport ""","""E51""= ""Bagdad Airport """
E55,Ocean Ridge Airport,38.8016111,-123.5306389,,''E55''=''Ocean Ridge Airport'',,"""","E55""= ""Ocean Ridge Airport ""","""E55""= ""Ocean Ridge Airport """
E63,Gila Bend Municipal Airport,32.960169,-112.673636,,''E63''=''Gila Bend Municipal Airport'',,"""","E63""= ""Gila Bend Municipal Airport ""","""E63""= ""Gila Bend Municipal Airport """
E91,Chinle Municipal Airport,36.1108806,-109.5754222,,''E91''=''Chinle Municipal Airport'',,"""","E91""= ""Chinle Municipal Airport ""","""E91""= ""Chinle Municipal Airport """
EAA,Eagle Airport,64.778056,-141.149722,,''EAA''=''Eagle Airport'',,"""","EAA""= ""Eagle Airport ""","""EAA""= ""Eagle Airport """
EAR,Kearney Municipal Airport,40.727,-99.0068,,''EAR''=''Kearney Municipal Airport'',,"""","EAR""= ""Kearney Municipal Airport ""","""EAR""= ""Kearney Municipal Airport """
EAT,Pangborn Field,47.398,-120.206,,''EAT''=''Pangborn Field'',,"""","EAT""= ""Pangborn Field ""","""EAT""= ""Pangborn Field """
EAU,Chippewa Valley Regional Airport,44.8658,-91.4843,,''EAU''=''Chippewa Valley Regional Airport'',,"""","EAU""= ""Chippewa Valley Regional Airport ""","""EAU""= ""Chippewa Valley Regional Airport """
ECA,Iosco County,44.311,-83.422,,''ECA''=''Iosco County'',,"""","ECA""= ""Iosco County ""","""ECA""= ""Iosco County """
ECG,Elizabeth City Cgas Rgnl,36.260581,-76.174572,,''ECG''=''Elizabeth City Cgas Rgnl'',,"""","ECG""= ""Elizabeth City Cgas Rgnl ""","""ECG""= ""Elizabeth City Cgas Rgnl """
ECP,Panama City-NW Florida Bea.,30.3417,-85.7973,,''ECP''=''Panama City-NW Florida Bea.'',,"""","ECP""= ""Panama City-NW Florida Bea. ""","""ECP""= ""Panama City-NW Florida Bea. """
EDF,Elmendorf Afb,61.250986,-149.806503,,''EDF''=''Elmendorf Afb'',,"""","EDF""= ""Elmendorf Afb ""","""EDF""= ""Elmendorf Afb """
EDW,Edwards Afb,34.905417,-117.883739,,''EDW''=''Edwards Afb'',,"""","EDW""= ""Edwards Afb ""","""EDW""= ""Edwards Afb """
EEK,Eek Airport,60.213611,-162.043889,,''EEK''=''Eek Airport'',,"""","EEK""= ""Eek Airport ""","""EEK""= ""Eek Airport """
EEN,Dillant Hopkins Airport,72.270833,42.898333,,''EEN''=''Dillant Hopkins Airport'',,"""","EEN""= ""Dillant Hopkins Airport ""","""EEN""= ""Dillant Hopkins Airport """
EET,Shelby County Airport,33.1777778,-86.7832222,,''EET''=''Shelby County Airport'',,"""","EET""= ""Shelby County Airport ""","""EET""= ""Shelby County Airport """
EFD,Ellington Fld,29.607333,-95.15875,,''EFD''=''Ellington Fld'',,"""","EFD""= ""Ellington Fld ""","""EFD""= ""Ellington Fld """
EGA,Eagle County Airport,39.6427611,-106.9159347,,''EGA''=''Eagle County Airport'',,"""","EGA""= ""Eagle County Airport ""","""EGA""= ""Eagle County Airport """
EGE,Eagle Co Rgnl,39.642556,-106.917694,,''EGE''=''Eagle Co Rgnl'',,"""","EGE""= ""Eagle Co Rgnl ""","""EGE""= ""Eagle Co Rgnl """
EGT,Wellington Municipal,37.39411,-97.423225,,''EGT''=''Wellington Municipal'',,"""","EGT""= ""Wellington Municipal ""","""EGT""= ""Wellington Municipal """
EGV,Eagle River,45.932333,-89.268283,,''EGV''=''Eagle River'',,"""","EGV""= ""Eagle River ""","""EGV""= ""Eagle River """
EGX,Egegik Airport,58.185556,-157.375556,,''EGX''=''Egegik Airport'',,"""","EGX""= ""Egegik Airport ""","""EGX""= ""Egegik Airport """
EHM,Cape Newenham Lrrs,58.646428,-162.062778,,''EHM''=''Cape Newenham Lrrs'',,"""","EHM""= ""Cape Newenham Lrrs ""","""EHM""= ""Cape Newenham Lrrs """
EIL,Eielson Afb,64.665667,-147.1015,,''EIL''=''Eielson Afb'',,"""","EIL""= ""Eielson Afb ""","""EIL""= ""Eielson Afb """
EKI,Elkhart Municipal,41.719444,-86.003333,,''EKI''=''Elkhart Municipal'',,"""","EKI""= ""Elkhart Municipal ""","""EKI""= ""Elkhart Municipal """
EKN,Elkins Randolph Co Jennings Randolph,38.889444,-79.857139,,''EKN''=''Elkins Randolph Co Jennings Randolph'',,"""","EKN""= ""Elkins Randolph Co Jennings Randolph ""","""EKN""= ""Elkins Randolph Co Jennings Randolph """
EKO,Elko Regional Airport,40.8249,-115.792,,''EKO''=''Elko Regional Airport'',,"""","EKO""= ""Elko Regional Airport ""","""EKO""= ""Elko Regional Airport """
ELD,South Arkansas Rgnl At Goodwin Fld,33.220972,-92.813278,,''ELD''=''South Arkansas Rgnl At Goodwin Fld'',,"""","ELD""= ""South Arkansas Rgnl At Goodwin Fld ""","""ELD""= ""South Arkansas Rgnl At Goodwin Fld """
ELI,Elim Airport,64.615,-162.270556,,''ELI''=''Elim Airport'',,"""","ELI""= ""Elim Airport ""","""ELI""= ""Elim Airport """
ELM,Elmira Corning Rgnl,42.159889,-76.891611,,''ELM''=''Elmira Corning Rgnl'',,"""","ELM""= ""Elmira Corning Rgnl ""","""ELM""= ""Elmira Corning Rgnl """
ELP,El Paso Intl,31.80725,-106.377583,,''ELP''=''El Paso Intl'',,"""","ELP""= ""El Paso Intl ""","""ELP""= ""El Paso Intl """
ELV,Elfin Cove Seaplane Base,58.195278,-136.3475,,''ELV''=''Elfin Cove Seaplane Base'',,"""","ELV""= ""Elfin Cove Seaplane Base ""","""ELV""= ""Elfin Cove Seaplane Base """
ELY,Ely Airport,39.299722,-114.841944,,''ELY''=''Ely Airport'',,"""","ELY""= ""Ely Airport ""","""ELY""= ""Ely Airport """
EMK,Emmonak Airport,62.786111,-164.490833,,''EMK''=''Emmonak Airport'',,"""","EMK""= ""Emmonak Airport ""","""EMK""= ""Emmonak Airport """
EMP,Emporia Municipal Airport,38.3321,-96.1912,,''EMP''=''Emporia Municipal Airport'',,"""","EMP""= ""Emporia Municipal Airport ""","""EMP""= ""Emporia Municipal Airport """
ENA,Kenai Muni,60.573111,-151.245,,''ENA''=''Kenai Muni'',,"""","ENA""= ""Kenai Muni ""","""ENA""= ""Kenai Muni """
END,Vance Afb,36.339167,-97.9165,,''END''=''Vance Afb'',,"""","END""= ""Vance Afb ""","""END""= ""Vance Afb """
ENV,Wendover,40.718694,-114.030889,,''ENV''=''Wendover'',,"""","ENV""= ""Wendover ""","""ENV""= ""Wendover """
ENW,Kenosha Regional Airport,42.5956944,-87.9278056,,''ENW''=''Kenosha Regional Airport'',,"""","ENW""= ""Kenosha Regional Airport ""","""ENW""= ""Kenosha Regional Airport """
EOK,Keokuk Municipal Airport,40.4599078,-91.4285011,,''EOK''=''Keokuk Municipal Airport'',,"""","EOK""= ""Keokuk Municipal Airport ""","""EOK""= ""Keokuk Municipal Airport """
EPM,Eastport Municipal Airport,44.9101111,-67.0126944,,''EPM''=''Eastport Municipal Airport'',,"""","EPM""= ""Eastport Municipal Airport ""","""EPM""= ""Eastport Municipal Airport """
EQY,Monroe Reqional Airport,35.01833,-80.62001,,''EQY''=''Monroe Reqional Airport'',,"""","EQY""= ""Monroe Reqional Airport ""","""EQY""= ""Monroe Reqional Airport """
ERI,Erie Intl Tom Ridge Fld,42.082022,-80.176217,,''ERI''=''Erie Intl Tom Ridge Fld'',,"""","ERI""= ""Erie Intl Tom Ridge Fld ""","""ERI""= ""Erie Intl Tom Ridge Fld """
ERV,Kerrville Municipal Airport,29.9766667,-99.0854722,,''ERV''=''Kerrville Municipal Airport'',,"""","ERV""= ""Kerrville Municipal Airport ""","""ERV""= ""Kerrville Municipal Airport """
ERY,Luce County Airport,46.311199,-85.457298,,''ERY''=''Luce County Airport'',,"""","ERY""= ""Luce County Airport ""","""ERY""= ""Luce County Airport """
ESC,Delta County Airport,45.722778,-87.093611,,''ESC''=''Delta County Airport'',,"""","ESC""= ""Delta County Airport ""","""ESC""= ""Delta County Airport """
ESD,Orcas Island Airport,48.708056,-122.910556,,''ESD''=''Orcas Island Airport'',,"""","ESD""= ""Orcas Island Airport ""","""ESD""= ""Orcas Island Airport """
ESF,Esler Rgnl,31.394903,-92.295772,,''ESF''=''Esler Rgnl'',,"""","ESF""= ""Esler Rgnl ""","""ESF""= ""Esler Rgnl """
ESN,Easton-Newnam Field Airport,38.8041667,-76.069,,''ESN''=''Easton-Newnam Field Airport'',,"""","ESN""= ""Easton-Newnam Field Airport ""","""ESN""= ""Easton-Newnam Field Airport """
EUG,Mahlon Sweet Fld,44.124583,-123.211972,,''EUG''=''Mahlon Sweet Fld'',,"""","EUG""= ""Mahlon Sweet Fld ""","""EUG""= ""Mahlon Sweet Fld """
EVV,Evansville Regional,38.036997,-87.532364,,''EVV''=''Evansville Regional'',,"""","EVV""= ""Evansville Regional ""","""EVV""= ""Evansville Regional """
EWB,New Bedford Regional Airport,41.6761,-70.9569,,''EWB''=''New Bedford Regional Airport'',,"""","EWB""= ""New Bedford Regional Airport ""","""EWB""= ""New Bedford Regional Airport """
EWN,Craven Co Rgnl,35.072972,-77.042944,,''EWN''=''Craven Co Rgnl'',,"""","EWN""= ""Craven Co Rgnl ""","""EWN""= ""Craven Co Rgnl """
EWR,Newark Liberty Intl,40.6925,-74.168667,,''EWR''=''Newark Liberty Intl'',,"""","EWR""= ""Newark Liberty Intl ""","""EWR""= ""Newark Liberty Intl """
EXI,Excursion Inlet Seaplane Base,58.420556,-135.449167,,''EXI''=''Excursion Inlet Seaplane Base'',,"""","EXI""= ""Excursion Inlet Seaplane Base ""","""EXI""= ""Excursion Inlet Seaplane Base """
EYW,Key West Intl,24.556111,-81.759556,,''EYW''=''Key West Intl'',,"""","EYW""= ""Key West Intl ""","""EYW""= ""Key West Intl """
F57,Seaplane Base,28.0575,-81.7628056,,''F57''=''Seaplane Base'',,"""","F57""= ""Seaplane Base ""","""F57""= ""Seaplane Base """
FAF,Felker Aaf,37.1325,-76.608841,,''FAF''=''Felker Aaf'',,"""","FAF""= ""Felker Aaf ""","""FAF""= ""Felker Aaf """
FAI,Fairbanks Intl,64.815114,-147.856267,,''FAI''=''Fairbanks Intl'',,"""","FAI""= ""Fairbanks Intl ""","""FAI""= ""Fairbanks Intl """
FAR,Hector International Airport,46.92065,-96.8157639,,''FAR''=''Hector International Airport'',,"""","FAR""= ""Hector International Airport ""","""FAR""= ""Hector International Airport """
FAT,Fresno Yosemite Intl,36.776194,-119.71814,,''FAT''=''Fresno Yosemite Intl'',,"""","FAT""= ""Fresno Yosemite Intl ""","""FAT""= ""Fresno Yosemite Intl """
FAY,Fayetteville Regional Grannis Field,34.9912,-78.8803,,''FAY''=''Fayetteville Regional Grannis Field'',,"""","FAY""= ""Fayetteville Regional Grannis Field ""","""FAY""= ""Fayetteville Regional Grannis Field """
FBG,Fredericksburg Amtrak Station,38.298416,-77.456875,,''FBG''=''Fredericksburg Amtrak Station'',,"""","FBG""= ""Fredericksburg Amtrak Station ""","""FBG""= ""Fredericksburg Amtrak Station """
FBK,Ladd Aaf,64.8375,-147.614444,,''FBK''=''Ladd Aaf'',,"""","FBK""= ""Ladd Aaf ""","""FBK""= ""Ladd Aaf """
FBS,Friday Harbor Seaplane Base,48.537222,-123.009722,,''FBS''=''Friday Harbor Seaplane Base'',,"""","FBS""= ""Friday Harbor Seaplane Base ""","""FBS""= ""Friday Harbor Seaplane Base """
FCA,Glacier Park Intl,48.310472,-114.256,,''FCA''=''Glacier Park Intl'',,"""","FCA""= ""Glacier Park Intl ""","""FCA""= ""Glacier Park Intl """
FCS,Butts Aaf,38.678394,-104.756581,,''FCS''=''Butts Aaf'',,"""","FCS""= ""Butts Aaf ""","""FCS""= ""Butts Aaf """
FDY,Findlay Airport,41.0120278,-83.6686111,,''FDY''=''Findlay Airport'',,"""","FDY""= ""Findlay Airport ""","""FDY""= ""Findlay Airport """
FFA,First Flight Airport,36.02,-75.67,,''FFA''=''First Flight Airport'',,"""","FFA""= ""First Flight Airport ""","""FFA""= ""First Flight Airport """
FFC,Atlanta Regional Airport - Falcon Field,33.35725,-84.5718333,,''FFC''=''Atlanta Regional Airport - Falcon Field'',,"""","FFC""= ""Atlanta Regional Airport - Falcon Field ""","""FFC""= ""Atlanta Regional Airport - Falcon Field """
FFO,Wright Patterson Afb,39.826111,-84.048332,,''FFO''=''Wright Patterson Afb'',,"""","FFO""= ""Wright Patterson Afb ""","""FFO""= ""Wright Patterson Afb """
FFT,Capital City Airport,38.1819722,-84.9061389,,''FFT''=''Capital City Airport'',,"""","FFT""= ""Capital City Airport ""","""FFT""= ""Capital City Airport """
FFZ,Mesa Falcon Field,33.46080017,-111.7279968,,''FFZ''=''Mesa Falcon Field'',,"""","FFZ""= ""Mesa Falcon Field ""","""FFZ""= ""Mesa Falcon Field """
FHU,Sierra Vista Muni Libby Aaf,31.588472,-110.344389,,''FHU''=''Sierra Vista Muni Libby Aaf'',,"""","FHU""= ""Sierra Vista Muni Libby Aaf ""","""FHU""= ""Sierra Vista Muni Libby Aaf """
FIT,Fitchburg Municipal Airport,42.5541111,-71.7589722,,''FIT''=''Fitchburg Municipal Airport'',,"""","FIT""= ""Fitchburg Municipal Airport ""","""FIT""= ""Fitchburg Municipal Airport """
FKL,Franklin,41.377874,-79.860362,,''FKL''=''Franklin'',,"""","FKL""= ""Franklin ""","""FKL""= ""Franklin """
FLD,Fond Du Lac County Airport,43.7711667,-88.4884167,,''FLD''=''Fond Du Lac County Airport'',,"""","FLD""= ""Fond Du Lac County Airport ""","""FLD""= ""Fond Du Lac County Airport """
FLG,Flagstaff Pulliam Airport,35.140318,-111.6692392,,''FLG''=''Flagstaff Pulliam Airport'',,"""","FLG""= ""Flagstaff Pulliam Airport ""","""FLG""= ""Flagstaff Pulliam Airport """
FLL,Fort Lauderdale Hollywood Intl,26.072583,-80.15275,,''FLL''=''Fort Lauderdale Hollywood Intl'',,"""","FLL""= ""Fort Lauderdale Hollywood Intl ""","""FLL""= ""Fort Lauderdale Hollywood Intl """
FLO,Florence Rgnl,34.185361,-79.723889,,''FLO''=''Florence Rgnl'',,"""","FLO""= ""Florence Rgnl ""","""FLO""= ""Florence Rgnl """
FLV,Sherman Aaf,39.368332,-94.914686,,''FLV''=''Sherman Aaf'',,"""","FLV""= ""Sherman Aaf ""","""FLV""= ""Sherman Aaf """
FME,Tipton,39.085386,-76.759414,,''FME''=''Tipton'',,"""","FME""= ""Tipton ""","""FME""= ""Tipton """
FMH,Otis Angb,41.658439,-70.521417,,''FMH''=''Otis Angb'',,"""","FMH""= ""Otis Angb ""","""FMH""= ""Otis Angb """
FMN,Four Corners Rgnl,36.74125,-108.229944,,''FMN''=''Four Corners Rgnl'',,"""","FMN""= ""Four Corners Rgnl ""","""FMN""= ""Four Corners Rgnl """
FMY,Page Fld,26.586611,-81.86325,,''FMY''=''Page Fld'',,"""","FMY""= ""Page Fld ""","""FMY""= ""Page Fld """
FNL,Fort Collins Loveland Muni,40.451828,-105.011336,,''FNL''=''Fort Collins Loveland Muni'',,"""","FNL""= ""Fort Collins Loveland Muni ""","""FNL""= ""Fort Collins Loveland Muni """
FNR,Funter Bay Seaplane Base,58.254444,-134.897778,,''FNR''=''Funter Bay Seaplane Base'',,"""","FNR""= ""Funter Bay Seaplane Base ""","""FNR""= ""Funter Bay Seaplane Base """
FNT,Bishop International,42.965424,-83.743629,,''FNT''=''Bishop International'',,"""","FNT""= ""Bishop International ""","""FNT""= ""Bishop International """
FOD,Fort Dodge Rgnl,42.5512,-94.191842,,''FOD''=''Fort Dodge Rgnl'',,"""","FOD""= ""Fort Dodge Rgnl ""","""FOD""= ""Fort Dodge Rgnl """
FOE,Forbes Fld,38.950944,-95.663611,,''FOE''=''Forbes Fld'',,"""","FOE""= ""Forbes Fld ""","""FOE""= ""Forbes Fld """
FOK,Francis S Gabreski,40.843656,-72.631789,,''FOK''=''Francis S Gabreski'',,"""","FOK""= ""Francis S Gabreski ""","""FOK""= ""Francis S Gabreski """
FRD,Friday Harbor Airport,48.521944,-123.024444,,''FRD''=''Friday Harbor Airport'',,"""","FRD""= ""Friday Harbor Airport ""","""FRD""= ""Friday Harbor Airport """
FRI,Marshall Aaf,39.055275,-96.764453,,''FRI''=''Marshall Aaf'',,"""","FRI""= ""Marshall Aaf ""","""FRI""= ""Marshall Aaf """
FRN,Bryant Ahp,61.266381,-149.653119,,''FRN''=''Bryant Ahp'',,"""","FRN""= ""Bryant Ahp ""","""FRN""= ""Bryant Ahp """
FRP,St Lucie County International Airport,27.497472,-80.372638,,''FRP''=''St Lucie County International Airport'',,"""","FRP""= ""St Lucie County International Airport ""","""FRP""= ""St Lucie County International Airport """
FSD,Sioux Falls,43.582014,-96.741914,,''FSD''=''Sioux Falls'',,"""","FSD""= ""Sioux Falls ""","""FSD""= ""Sioux Falls """
FSI,Henry Post Aaf,34.649833,-98.402167,,''FSI''=''Henry Post Aaf'',,"""","FSI""= ""Henry Post Aaf ""","""FSI""= ""Henry Post Aaf """
FSM,Fort Smith Rgnl,35.336583,-94.367444,,''FSM''=''Fort Smith Rgnl'',,"""","FSM""= ""Fort Smith Rgnl ""","""FSM""= ""Fort Smith Rgnl """
FST,Fort Stockton Pecos Co,30.915667,-102.916139,,''FST''=''Fort Stockton Pecos Co'',,"""","FST""= ""Fort Stockton Pecos Co ""","""FST""= ""Fort Stockton Pecos Co """
FTK,Godman Aaf,37.907058,-85.972106,,''FTK''=''Godman Aaf'',,"""","FTK""= ""Godman Aaf ""","""FTK""= ""Godman Aaf """
FTW,Fort Worth Meacham Intl,32.819778,-97.362444,,''FTW''=''Fort Worth Meacham Intl'',,"""","FTW""= ""Fort Worth Meacham Intl ""","""FTW""= ""Fort Worth Meacham Intl """
FTY,Fulton County Airport Brown Field,33.7791,-84.5214,,''FTY''=''Fulton County Airport Brown Field'',,"""","FTY""= ""Fulton County Airport Brown Field ""","""FTY""= ""Fulton County Airport Brown Field """
FUL,Fullerton Municipal Airport,33.521925,-117.584722,,''FUL''=''Fullerton Municipal Airport'',,"""","FUL""= ""Fullerton Municipal Airport ""","""FUL""= ""Fullerton Municipal Airport """
FWA,Fort Wayne,40.978472,-85.195139,,''FWA''=''Fort Wayne'',,"""","FWA""= ""Fort Wayne ""","""FWA""= ""Fort Wayne """
FXE,Fort Lauderdale Executive,26.197281,-80.170706,,''FXE''=''Fort Lauderdale Executive'',,"""","FXE""= ""Fort Lauderdale Executive ""","""FXE""= ""Fort Lauderdale Executive """
FYU,Fort Yukon,66.571492,-145.250417,,''FYU''=''Fort Yukon'',,"""","FYU""= ""Fort Yukon ""","""FYU""= ""Fort Yukon """
FYV,Drake Fld,36.005094,-94.170059,,''FYV''=''Drake Fld'',,"""","FYV""= ""Drake Fld ""","""FYV""= ""Drake Fld """
FZG,Fitzgerald Municipal Airport,31.6839046,-83.2709036,,''FZG''=''Fitzgerald Municipal Airport'',,"""","FZG""= ""Fitzgerald Municipal Airport ""","""FZG""= ""Fitzgerald Municipal Airport """
GAD,Northeast Alabama Regional Airport,33.9726489,-86.0890834,,''GAD''=''Northeast Alabama Regional Airport'',,"""","GAD""= ""Northeast Alabama Regional Airport ""","""GAD""= ""Northeast Alabama Regional Airport """
GAI,Montgomery County Airpark,39.1006,-77.09576,,''GAI''=''Montgomery County Airpark'',,"""","GAI""= ""Montgomery County Airpark ""","""GAI""= ""Montgomery County Airpark """
GAL,Edward G Pitka Sr,64.736178,-156.937417,,''GAL''=''Edward G Pitka Sr'',,"""","GAL""= ""Edward G Pitka Sr ""","""GAL""= ""Edward G Pitka Sr """
GAM,Gambell Airport,63.7668,-171.733,,''GAM''=''Gambell Airport'',,"""","GAM""= ""Gambell Airport ""","""GAM""= ""Gambell Airport """
GBN,Great Bend Municipal,38.344167,-98.859167,,''GBN''=''Great Bend Municipal'',,"""","GBN""= ""Great Bend Municipal ""","""GBN""= ""Great Bend Municipal """
GCC,Gillette-Campbell County Airport,44.3489167,-105.5393611,,''GCC''=''Gillette-Campbell County Airport'',,"""","GCC""= ""Gillette-Campbell County Airport ""","""GCC""= ""Gillette-Campbell County Airport """
GCK,Garden City Rgnl,37.927528,-100.724417,,''GCK''=''Garden City Rgnl'',,"""","GCK""= ""Garden City Rgnl ""","""GCK""= ""Garden City Rgnl """
GCN,Grand Canyon National Park Airport,35.9523611,-112.1469722,,''GCN''=''Grand Canyon National Park Airport'',,"""","GCN""= ""Grand Canyon National Park Airport ""","""GCN""= ""Grand Canyon National Park Airport """
GCW,Grand Canyon West Airport,35.5925,-113.4859,,''GCW''=''Grand Canyon West Airport'',,"""","GCW""= ""Grand Canyon West Airport ""","""GCW""= ""Grand Canyon West Airport """
GDV,Dawson Community Airport,47.138611,-104.807222,,''GDV''=''Dawson Community Airport'',,"""","GDV""= ""Dawson Community Airport ""","""GDV""= ""Dawson Community Airport """
GDW,Gladwin Zettel Memorial Airport,43.9705893,-84.47502,,''GDW''=''Gladwin Zettel Memorial Airport'',,"""","GDW""= ""Gladwin Zettel Memorial Airport ""","""GDW""= ""Gladwin Zettel Memorial Airport """
GED,Sussex Co,38.689194,-75.358889,,''GED''=''Sussex Co'',,"""","GED""= ""Sussex Co ""","""GED""= ""Sussex Co """
GEG,Spokane Intl,47.619861,-117.533833,,''GEG''=''Spokane Intl'',,"""","GEG""= ""Spokane Intl ""","""GEG""= ""Spokane Intl """
GEU,Glendale Municipal Airport,33.5269167,-112.2951389,,''GEU''=''Glendale Municipal Airport'',,"""","GEU""= ""Glendale Municipal Airport ""","""GEU""= ""Glendale Municipal Airport """
GFK,Grand Forks Intl,47.949256,-97.176111,,''GFK''=''Grand Forks Intl'',,"""","GFK""= ""Grand Forks Intl ""","""GFK""= ""Grand Forks Intl """
GGE,Georgetown County Airport,33.3114018,-79.3203139,,''GGE''=''Georgetown County Airport'',,"""","GGE""= ""Georgetown County Airport ""","""GGE""= ""Georgetown County Airport """
GGG,East Texas Rgnl,32.384014,-94.711486,,''GGG''=''East Texas Rgnl'',,"""","GGG""= ""East Texas Rgnl ""","""GGG""= ""East Texas Rgnl """
GGW,Wokal Field Glasgow International Airport,48.2125,-106.615,,''GGW''=''Wokal Field Glasgow International Airport'',,"""","GGW""= ""Wokal Field Glasgow International Airport ""","""GGW""= ""Wokal Field Glasgow International Airport """
GHG,Marshfield Municipal Airport,42.09825,-70.6721389,,''GHG''=''Marshfield Municipal Airport'',,"""","GHG""= ""Marshfield Municipal Airport ""","""GHG""= ""Marshfield Municipal Airport """
GIF,Gilbert Airport,28.062778,-81.753333,,''GIF''=''Gilbert Airport'',,"""","GIF""= ""Gilbert Airport ""","""GIF""= ""Gilbert Airport """
GJT,Grand Junction Regional,39.122413,-108.526735,,''GJT''=''Grand Junction Regional'',,"""","GJT""= ""Grand Junction Regional ""","""GJT""= ""Grand Junction Regional """
GKN,Gulkana,62.154888,-145.456639,,''GKN''=''Gulkana'',,"""","GKN""= ""Gulkana ""","""GKN""= ""Gulkana """
GKY,Arlington Municipal,32.6638611,-97.0942778,,''GKY''=''Arlington Municipal'',,"""","GKY""= ""Arlington Municipal ""","""GKY""= ""Arlington Municipal """
GLD,Renner Fld,39.370621,-101.698992,,''GLD''=''Renner Fld'',,"""","GLD""= ""Renner Fld ""","""GLD""= ""Renner Fld """
GLH,Mid Delta Regional Airport,33.4829,-90.9856,,''GLH''=''Mid Delta Regional Airport'',,"""","GLH""= ""Mid Delta Regional Airport ""","""GLH""= ""Mid Delta Regional Airport """
GLS,Scholes Intl At Galveston,29.265322,-94.860406,,''GLS''=''Scholes Intl At Galveston'',,"""","GLS""= ""Scholes Intl At Galveston ""","""GLS""= ""Scholes Intl At Galveston """
GLV,Golovin Airport,64.550556,-163.007222,,''GLV''=''Golovin Airport'',,"""","GLV""= ""Golovin Airport ""","""GLV""= ""Golovin Airport """
GNT,Grants Milan Muni,35.167286,-107.901989,,''GNT''=''Grants Milan Muni'',,"""","GNT""= ""Grants Milan Muni ""","""GNT""= ""Grants Milan Muni """
GNU,Goodnews Airport,59.1175,-161.5775,,''GNU''=''Goodnews Airport'',,"""","GNU""= ""Goodnews Airport ""","""GNU""= ""Goodnews Airport """
GNV,Gainesville Rgnl,29.690056,-82.271778,,''GNV''=''Gainesville Rgnl'',,"""","GNV""= ""Gainesville Rgnl ""","""GNV""= ""Gainesville Rgnl """
GON,Groton New London,41.330056,-72.045139,,''GON''=''Groton New London'',,"""","GON""= ""Groton New London ""","""GON""= ""Groton New London """
GPT,Gulfport-Biloxi,30.407278,-89.070111,,''GPT''=''Gulfport-Biloxi'',,"""","GPT""= ""Gulfport-Biloxi ""","""GPT""= ""Gulfport-Biloxi """
GPZ,Grand Rapids Itasca County,47.211111,-93.509722,,''GPZ''=''Grand Rapids Itasca County'',,"""","GPZ""= ""Grand Rapids Itasca County ""","""GPZ""= ""Grand Rapids Itasca County """
GQQ,Galion Municipal Airport,40.7533889,-82.7238056,,''GQQ''=''Galion Municipal Airport'',,"""","GQQ""= ""Galion Municipal Airport ""","""GQQ""= ""Galion Municipal Airport """
GRB,Austin Straubel Intl,44.485072,-88.129589,,''GRB''=''Austin Straubel Intl'',,"""","GRB""= ""Austin Straubel Intl ""","""GRB""= ""Austin Straubel Intl """
GRF,Gray Aaf,47.079217,-122.580783,,''GRF''=''Gray Aaf'',,"""","GRF""= ""Gray Aaf ""","""GRF""= ""Gray Aaf """
